"chr","windowStart","windowEnd","D","f_d","f_dM","StartMb","EndMb","center","Chrom","fd_filtered","Cat","CatConserv"
"NC_030304.1",5851,8426,0.092167,0.217963,0.153719,0.005851,0.008426,0.0071385,"Chr2",0.217963,"Collinear",NA
"NC_030304.1",8432,12064,0.040971,0.075767,0.039788,0.008432,0.012064,0.010248,"Chr2",0.075767,"Collinear",NA
"NC_030304.1",12073,55117,0.194005,0.048507,0.026738,0.012073,0.055117,0.033595,"Chr2",0.048507,"Collinear",NA
"NC_030304.1",55250,114682,0.127369,0.025973,0.011877,0.05525,0.114682,0.084966,"Chr2",0.025973,"Collinear",NA
"NC_030304.1",114696,123139,-0.028721,-0.036968,-0.024818,0.114696,0.123139,0.1189175,"Chr2",NA,"Collinear",NA
"NC_030304.1",123649,145740,0.280631,0.321196,0.133961,0.123649,0.14574,0.1346945,"Chr2",0.321196,"Collinear",NA
"NC_030304.1",145747,189815,0.077807,0.024462,0.012282,0.145747,0.189815,0.167781,"Chr2",0.024462,"Collinear",NA
"NC_030304.1",189889,240823,0.279234,0.083005,0.041951,0.189889,0.240823,0.215356,"Chr2",0.083005,"Collinear",NA
"NC_030304.1",240829,269446,-0.077258,-0.034933,-0.019171,0.240829,0.269446,0.2551375,"Chr2",NA,"Collinear",NA
"NC_030304.1",271570,315212,0.036724,0.014679,0.006617,0.27157,0.315212,0.293391,"Chr2",0.014679,"Collinear",NA
"NC_030304.1",315419,351578,0.177801,0.071041,0.032593,0.315419,0.351578,0.3334985,"Chr2",0.071041,"Collinear",NA
"NC_030304.1",352543,407434,0.160582,0.048303,0.026892,0.352543,0.407434,0.3799885,"Chr2",0.048303,"Collinear",NA
"NC_030304.1",407938,439787,0.019821,0.006793,0.003866,0.407938,0.439787,0.4238625,"Chr2",0.006793,"Collinear",NA
"NC_030304.1",440234,518586,-0.270885,-0.053202,-0.029829,0.440234,0.518586,0.47941,"Chr2",NA,"Collinear",NA
"NC_030304.1",518630,593838,0.059379,0.014986,0.0083,0.51863,0.593838,0.556234,"Chr2",0.014986,"Collinear",NA
"NC_030304.1",594292,640642,0.113076,0.033541,0.016686,0.594292,0.640642,0.617467,"Chr2",0.033541,"Collinear",NA
"NC_030304.1",640769,678600,-0.075436,-0.01636,-0.008903,0.640769,0.6786,0.6596845,"Chr2",NA,"Collinear",NA
"NC_030304.1",678678,714018,0.118761,0.05205,0.024643,0.678678,0.714018,0.696348,"Chr2",0.05205,"Collinear",NA
"NC_030304.1",715157,757153,-0.137848,-0.059419,-0.029648,0.715157,0.757153,0.736155,"Chr2",NA,"Collinear",NA
"NC_030304.1",757191,800005,0.169567,0.046066,0.023929,0.757191,0.800005,0.778598,"Chr2",0.046066,"Collinear",NA
"NC_030304.1",800445,849842,-0.094103,-0.023972,-0.011184,0.800445,0.849842,0.8251435,"Chr2",NA,"Collinear",NA
"NC_030304.1",850028,883540,-0.082538,-0.039427,-0.012719,0.850028,0.88354,0.866784,"Chr2",NA,"Collinear",NA
"NC_030304.1",883592,898934,0.202635,0.139732,0.055435,0.883592,0.898934,0.891263,"Chr2",0.139732,"Collinear",NA
"NC_030304.1",899034,916269,0.198373,0.153925,0.059714,0.899034,0.916269,0.9076515,"Chr2",0.153925,"Collinear",NA
"NC_030304.1",916286,931061,0.142304,0.108184,0.039798,0.916286,0.931061,0.9236735,"Chr2",0.108184,"Collinear",NA
"NC_030304.1",931283,955092,0.046178,0.018161,0.007929,0.931283,0.955092,0.9431875,"Chr2",0.018161,"Collinear",NA
"NC_030304.1",956104,982302,0.18851,0.086126,0.034026,0.956104,0.982302,0.969203,"Chr2",0.086126,"Collinear",NA
"NC_030304.1",982365,1001437,0.128015,0.06307,0.027277,0.982365,1.001437,0.991901,"Chr2",0.06307,"Collinear",NA
"NC_030304.1",1002066,1024871,-0.149716,-0.067787,-0.027408,1.002066,1.024871,1.0134685,"Chr2",NA,"Collinear",NA
"NC_030304.1",1025202,1057783,0.282346,0.094983,0.046972,1.025202,1.057783,1.0414925,"Chr2",0.094983,"Collinear",NA
"NC_030304.1",1058359,1114718,-0.049309,-0.012112,-0.00622,1.058359,1.114718,1.0865385,"Chr2",NA,"Collinear",NA
"NC_030304.1",1114719,1151698,-0.331233,-0.15009,-0.058009,1.114719,1.151698,1.1332085,"Chr2",NA,"Collinear",NA
"NC_030304.1",1151797,1187192,-0.190331,-0.049875,-0.023921,1.151797,1.187192,1.1694945,"Chr2",NA,"Collinear",NA
"NC_030304.1",1187584,1227563,-0.059676,-0.018608,-0.009267,1.187584,1.227563,1.2075735,"Chr2",NA,"Collinear",NA
"NC_030304.1",1227924,1266998,-0.159053,-0.059227,-0.026188,1.227924,1.266998,1.247461,"Chr2",NA,"Collinear",NA
"NC_030304.1",1267276,1326578,0.077081,0.015244,0.006076,1.267276,1.326578,1.296927,"Chr2",0.015244,"Collinear",NA
"NC_030304.1",1327260,1363485,0.103556,0.036616,0.0161,1.32726,1.363485,1.3453725,"Chr2",0.036616,"Collinear",NA
"NC_030304.1",1364216,1407283,0.225375,0.054969,0.028012,1.364216,1.407283,1.3857495,"Chr2",0.054969,"Collinear",NA
"NC_030304.1",1407791,1440023,-0.127346,-0.050515,-0.028657,1.407791,1.440023,1.423907,"Chr2",NA,"Collinear",NA
"NC_030304.1",1440032,1536249,0.129257,0.018396,0.010378,1.440032,1.536249,1.4881405,"Chr2",0.018396,"Collinear",NA
"NC_030304.1",1536295,1589152,0.096205,0.031624,0.017881,1.536295,1.589152,1.5627235,"Chr2",0.031624,"Collinear",NA
"NC_030304.1",1589445,1714689,-0.140181,-0.019653,-0.010838,1.589445,1.714689,1.652067,"Chr2",NA,"Collinear",NA
"NC_030304.1",1714741,1780880,0.131325,0.018176,0.009266,1.714741,1.78088,1.7478105,"Chr2",0.018176,"Collinear",NA
"NC_030304.1",1781210,1834569,0.014819,0.004869,0.002431,1.78121,1.834569,1.8078895,"Chr2",0.004869,"Collinear",NA
"NC_030304.1",1834602,1889448,-0.328109,-0.132178,-0.054253,1.834602,1.889448,1.862025,"Chr2",NA,"Collinear",NA
"NC_030304.1",1889458,1955328,-0.108834,-0.0269,-0.014007,1.889458,1.955328,1.922393,"Chr2",NA,"Collinear",NA
