"IntrogressionEffectEstimate","Cat","Chrom"
0.0075143824666602,"Collinear","chr2"
0.00897305063113137,"Collinear","chr2"
0.0115577628200897,"Collinear","chr2"
0.0037159521545206,"Collinear","chr2"
0.0028492430361796,"Collinear","chr2"
0.0038998621203986,"Collinear","chr2"
0.0039266041364163,"Collinear","chr2"
0.0027011678082819,"Collinear","chr2"
0.0036326722653716,"Collinear","chr2"
0.0031672646917368,"Collinear","chr2"
0.0030798647695565,"Collinear","chr2"
0.0038413770577099,"Collinear","chr2"
0.0033172885979153,"Collinear","chr2"
0.00837803008380894,"Collinear","chr2"
0.0032094982116458,"Collinear","chr2"
0.002737820070137,"Collinear","chr2"
0.0038709762834498,"Collinear","chr2"
0.0039611366658282,"Collinear","chr2"
0.0031997342911219,"Collinear","chr2"
0.0045354001540325,"Collinear","chr2"
0.0037294508369549,"Collinear","chr2"
0.0026171561151457,"Collinear","chr2"
0.0033383491272272,"Collinear","chr2"
0.0028406677269411,"Collinear","chr2"
0.00458449407855506,"Collinear","chr2"
0.0026306360510559,"Collinear","chr2"
0.006237747202895,"Collinear","chr2"
0.005723098652327,"Collinear","chr2"
0.0020586769813701,"Collinear","chr2"
0.00352577170761759,"Collinear","chr2"
0.00249194165895441,"Collinear","chr2"
0.0031471631503272,"Collinear","chr2"
0.0026781733943217,"Collinear","chr2"
0.0028302006965755,"Collinear","chr2"
0.003678760658001,"Collinear","chr2"
0.0068119849044602,"Collinear","chr2"
0.0030483401111161,"Collinear","chr2"
0.0017203648247734,"Collinear","chr2"
0.0039309280988741,"Collinear","chr2"
0.0044892773045522,"Collinear","chr2"
0.0055907988089611,"Collinear","chr2"
0.0065262075673132,"Collinear","chr2"
0.004655839820911,"Collinear","chr2"
0.0035532844721826,"Collinear","chr2"
0.0033791121463532,"Collinear","chr2"
0.0024817773301868,"Collinear","chr2"
0.00852835718117561,"Collinear","chr2"
0.0030542537219817,"Collinear","chr2"
0.0033721781372226,"Collinear","chr2"
0.0029628031658771,"Collinear","chr2"
0.004404554528531,"Collinear","chr2"
0.005915185081416,"Collinear","chr2"
0.0032355190511244,"Collinear","chr2"
0.0033224502466477,"Collinear","chr2"
0.0032885743359473,"Collinear","chr2"
0.0027612704640529,"Collinear","chr2"
0.0025407939944714,"Collinear","chr2"
0.00554472379093224,"Collinear","chr2"
0.0034498628505506,"Collinear","chr2"
