"Cat","Species","Dxy","Chrom"
"Collinear","LOWvBOG",0.0405706434977708,"chr2"
"Collinear","LOWvBOG",0.0335997278080841,"chr2"
"Collinear","LOWvBOG",0.0464651401477005,"chr2"
"Collinear","LOWvBOG",0.0433089561043496,"chr2"
"Collinear","LOWvBOG",0.0367924604246375,"chr2"
"Collinear","LOWvBOG",0.0423222211180196,"chr2"
"Collinear","LOWvBOG",0.0420831779586159,"chr2"
"Collinear","LOWvBOG",0.0363639264832666,"chr2"
"Collinear","LOWvBOG",0.0465315789118293,"chr2"
"Collinear","LOWvBOG",0.0362921502243062,"chr2"
"Collinear","LOWvBOG",0.0397357087868625,"chr2"
"Collinear","LOWvBOG",0.0413208303792243,"chr2"
"Collinear","LOWvBOG",0.0424679547009463,"chr2"
"Collinear","LOWvBOG",0.0481457181578628,"chr2"
"Collinear","LOWvBOG",0.044219838085731,"chr2"
"Collinear","LOWvBOG",0.0416894153495266,"chr2"
"Collinear","LOWvBOG",0.0382810686753299,"chr2"
"Collinear","LOWvBOG",0.047475089637953,"chr2"
"Collinear","LOWvBOG",0.0457125483976087,"chr2"
"Collinear","LOWvBOG",0.0382892767643315,"chr2"
"Collinear","LOWvBOG",0.0415453349847979,"chr2"
"Collinear","LOWvBOG",0.0443047577494332,"chr2"
"Collinear","LOWvBOG",0.0398452846645377,"chr2"
"Collinear","LOWvBOG",0.0420963112972685,"chr2"
"Collinear","LOWvBOG",0.042492226631732,"chr2"
"Collinear","LOWvBOG",0.0357215716591097,"chr2"
"Collinear","LOWvBOG",0.0380339820413376,"chr2"
"Collinear","LOWvBOG",0.0399217115445163,"chr2"
"Collinear","LOWvBOG",0.0355716371321858,"chr2"
"Collinear","LOWvBOG",0.039102918632667,"chr2"
"Collinear","LOWvBOG",0.039344980568598,"chr2"
"Collinear","LOWvBOG",0.0345402858435958,"chr2"
"Collinear","LOWvBOG",0.0361059521709646,"chr2"
"Collinear","LOWvBOG",0.0338771217704836,"chr2"
"Collinear","LOWvBOG",0.0362654003098075,"chr2"
"Collinear","LOWvBOG",0.0351536430332388,"chr2"
"Collinear","LOWvBOG",0.0337131182443042,"chr2"
"Collinear","LOWvBOG",0.0302345578076778,"chr2"
"Collinear","LOWvBOG",0.032715797127389,"chr2"
"Collinear","LOWvBOG",0.0285110918244557,"chr2"
"Collinear","LOWvBOG",0.0307378678955014,"chr2"
"Collinear","LOWvBOG",0.0377944097189536,"chr2"
"Collinear","LOWvBOG",0.0402722015823485,"chr2"
"Collinear","LOWvBOG",0.0361941274986775,"chr2"
"Collinear","LOWvBOG",0.0445569004841122,"chr2"
"Collinear","LOWvBOG",0.0436030495946094,"chr2"
"Collinear","LOWvBOG",0.0281190537824909,"chr2"
"Collinear","LOWvBOG",0.0299305500156374,"chr2"
"Collinear","LOWvBOG",0.0320378550410704,"chr2"
"Collinear","LOWvBOG",0.0260751293177855,"chr2"
"Collinear","LOWvBOG",0.0514136133956135,"chr2"
"Collinear","LOWvBOG",0.0545796037241129,"chr2"
"Collinear","LOWvBOG",0.0473763511147674,"chr2"
"Collinear","LOWvBOG",0.043329403608747,"chr2"
"Collinear","LOWvBOG",0.0381251182076503,"chr2"
"Collinear","LOWvBOG",0.0360609575091957,"chr2"
"Collinear","LOWvBOG",0.0356143037356114,"chr2"
"Collinear","LOWvBOG",0.0377338988145779,"chr2"
"Collinear","LOWvBOG",0.0337405655286974,"chr2"
"Collinear","LOWvBOG",0.0402192940255509,"chr2"
"Collinear","LOWvBOG",0.0377833222695572,"chr2"
"Collinear","LOWvBOG",0.0410698815719088,"chr2"
"Collinear","LOWvBOG",0.0329625795033269,"chr2"
"Collinear","LOWvBOG",0.0346028935826426,"chr2"
"Collinear","LOWvBOG",0.0390108170537831,"chr2"
"Collinear","LOWvBOG",0.0367705581743404,"chr2"
"Collinear","LOWvBOG",0.0289817476432111,"chr2"
"Collinear","LOWvBOG",0.033021215060927,"chr2"
"Collinear","LOWvBOG",0.0430707218181243,"chr2"
"Collinear","LOWvBOG",0.0275200933053432,"chr2"
"Collinear","LOWvBOG",0.0285386776506246,"chr2"
"Collinear","LOWvBOG",0.034872063327957,"chr2"
"Collinear","LOWvBOG",0.0362190793895264,"chr2"
"Collinear","LOWvBOG",0.0344665561607402,"chr2"
"Collinear","LOWvBOG",0.0309169162091482,"chr2"
"Collinear","LOWvBOG",0.0299298209797769,"chr2"
"Collinear","LOWvBOG",0.0338626979764416,"chr2"
"Collinear","LOWvBOG",0.0308221010623674,"chr2"
"Collinear","LOWvBOG",0.0335517628318962,"chr2"
"Collinear","LOWvBOG",0.0497535500755215,"chr2"
"Collinear","LOWvBOG",0.0336981916395802,"chr2"
