"chr","windowStart","windowEnd","D","f_d","f_dM","StartMb","EndMb","center","Chrom","fd_filtered","Cat","CatConserv"
"NC_030303.1",4704,6880,0.176059,0.234034,0.112842,0.004704,0.00688,0.005792,"ChrXR",0.234034,"Collinear",NA
"NC_030303.1",6890,13960,0.216697,0.279577,0.122566,0.00689,0.01396,0.010425,"ChrXR",0.279577,"Collinear",NA
"NC_030303.1",13966,71145,-0.096722,-0.011186,-0.007675,0.013966,0.071145,0.0425555,"ChrXR",NA,"Collinear",NA
"NC_030303.1",71157,115062,0.162529,0.02199,0.015729,0.071157,0.115062,0.0931095,"ChrXR",0.02199,"Collinear",NA
"NC_030303.1",115098,129123,-0.067509,-0.021355,-0.010792,0.115098,0.129123,0.1221105,"ChrXR",NA,"Collinear",NA
"NC_030303.1",129150,133348,-0.036988,-0.034223,-0.018454,0.12915,0.133348,0.131249,"ChrXR",NA,"Collinear",NA
"NC_030303.1",133440,200422,0.020604,0.001983,0.001256,0.13344,0.200422,0.166931,"ChrXR",0.001983,"Collinear",NA
"NC_030303.1",200424,236408,-0.096189,-0.021283,-0.014208,0.200424,0.236408,0.218416,"ChrXR",NA,"Collinear",NA
"NC_030303.1",236424,293421,0.04521,0.005415,0.003264,0.236424,0.293421,0.2649225,"ChrXR",0.005415,"Collinear",NA
"NC_030303.1",293422,348459,0.182682,0.041682,0.02238,0.293422,0.348459,0.3209405,"ChrXR",0.041682,"Collinear",NA
"NC_030303.1",348460,410589,0.098711,0.014379,0.009524,0.34846,0.410589,0.3795245,"ChrXR",0.014379,"Collinear",NA
"NC_030303.1",410606,429782,0.217944,0.07445,0.048606,0.410606,0.429782,0.420194,"ChrXR",0.07445,"Collinear",NA
"NC_030303.1",429941,460732,0.127748,0.024363,0.014884,0.429941,0.460732,0.4453365,"ChrXR",0.024363,"Collinear",NA
"NC_030303.1",460736,469089,0.14225,0.064568,0.035282,0.460736,0.469089,0.4649125,"ChrXR",0.064568,"Collinear",NA
"NC_030303.1",469263,471664,0.097701,0.081807,0.052384,0.469263,0.471664,0.4704635,"ChrXR",0.081807,"Collinear",NA
"NC_030303.1",471723,481025,-0.098363,-0.049043,-0.025643,0.471723,0.481025,0.476374,"ChrXR",NA,"Collinear",NA
"NC_030303.1",481042,493255,0.174974,0.055469,0.036241,0.481042,0.493255,0.4871485,"ChrXR",0.055469,"Collinear",NA
"NC_030303.1",493313,504463,0.16075,0.093927,0.052076,0.493313,0.504463,0.498888,"ChrXR",0.093927,"Collinear",NA
"NC_030303.1",504479,530991,0.061347,0.017671,0.012061,0.504479,0.530991,0.517735,"ChrXR",0.017671,"Collinear",NA
"NC_030303.1",531327,538946,-0.323939,-0.242964,-0.149474,0.531327,0.538946,0.5351365,"ChrXR",NA,"Collinear",NA
"NC_030303.1",538970,559271,0.030033,0.0067,0.004439,0.53897,0.559271,0.5491205,"ChrXR",0.0067,"Collinear",NA
"NC_030303.1",559278,575650,0.171772,0.048457,0.032138,0.559278,0.57565,0.567464,"ChrXR",0.048457,"Collinear",NA
"NC_030303.1",575657,600673,0.263731,0.054341,0.032565,0.575657,0.600673,0.588165,"ChrXR",0.054341,"Collinear",NA
"NC_030303.1",600674,612769,0.13494,0.035456,0.022913,0.600674,0.612769,0.6067215,"ChrXR",0.035456,"Collinear",NA
"NC_030303.1",612780,630165,0.281698,0.066123,0.042723,0.61278,0.630165,0.6214725,"ChrXR",0.066123,"Collinear",NA
"NC_030303.1",630882,648709,-0.061543,-0.015026,-0.009159,0.630882,0.648709,0.6397955,"ChrXR",NA,"Collinear",NA
"NC_030303.1",648730,662130,0.347052,0.217166,0.122642,0.64873,0.66213,0.65543,"ChrXR",0.217166,"Collinear",NA
"NC_030303.1",662133,685197,-0.082547,-0.01297,-0.008634,0.662133,0.685197,0.673665,"ChrXR",NA,"Collinear",NA
"NC_030303.1",685275,705912,0.038337,0.006211,0.004777,0.685275,0.705912,0.6955935,"ChrXR",0.006211,"Collinear",NA
"NC_030303.1",705957,776705,-0.012408,-0.000989,-0.000727,0.705957,0.776705,0.741331,"ChrXR",NA,"Collinear",NA
"NC_030303.1",777636,794529,0.049742,0.012468,0.008622,0.777636,0.794529,0.7860825,"ChrXR",0.012468,"Collinear",NA
"NC_030303.1",794540,802867,-0.150962,-0.2428,-0.103947,0.79454,0.802867,0.7987035,"ChrXR",NA,"Collinear",NA
"NC_030303.1",802872,866614,0.37619,0.026339,0.018353,0.802872,0.866614,0.834743,"ChrXR",0.026339,"Collinear",NA
"NC_030303.1",866615,912147,0.083099,0.006519,0.004753,0.866615,0.912147,0.889381,"ChrXR",0.006519,"Collinear",NA
"NC_030303.1",912170,951267,0.093258,0.009067,0.006802,0.91217,0.951267,0.9317185,"ChrXR",0.009067,"Collinear",NA
"NC_030303.1",951339,954997,0.026306,0.026346,0.013782,0.951339,0.954997,0.953168,"ChrXR",0.026346,"Collinear",NA
"NC_030303.1",955050,970266,-0.045167,-0.014518,-0.009562,0.95505,0.970266,0.962658,"ChrXR",NA,"Collinear",NA
"NC_030303.1",970326,1007754,-0.114405,-0.016281,-0.01175,0.970326,1.007754,0.98904,"ChrXR",NA,"Collinear",NA
"NC_030303.1",1007755,1041198,0.186309,0.058317,0.042557,1.007755,1.041198,1.0244765,"ChrXR",0.058317,"Collinear",NA
"NC_030303.1",1041222,1130168,-0.06387,-0.003949,-0.002943,1.041222,1.130168,1.085695,"ChrXR",NA,"Collinear",NA
"NC_030303.1",1130182,1132927,0.122922,0.1123,0.07001,1.130182,1.132927,1.1315545,"ChrXR",0.1123,"Collinear",NA
"NC_030303.1",1132941,1159961,0.158253,0.021893,0.015401,1.132941,1.159961,1.146451,"ChrXR",0.021893,"Collinear",NA
"NC_030303.1",1160029,1342477,0.044806,0.001552,0.001144,1.160029,1.342477,1.251253,"ChrXR",0.001552,"Collinear",NA
"NC_030303.1",1342482,1449138,-0.276745,-0.019678,-0.011447,1.342482,1.449138,1.39581,"ChrXR",NA,"Collinear",NA
"NC_030303.1",1449157,1493355,-0.219594,-0.038118,-0.024154,1.449157,1.493355,1.471256,"ChrXR",NA,"Collinear",NA
"NC_030303.1",1494452,1512316,0.05631,0.011606,0.007907,1.494452,1.512316,1.503384,"ChrXR",0.011606,"Collinear",NA
"NC_030303.1",1512321,1536332,-0.207236,-0.027205,-0.017462,1.512321,1.536332,1.5243265,"ChrXR",NA,"Collinear",NA
"NC_030303.1",1536342,1553571,-0.106351,-0.025724,-0.017041,1.536342,1.553571,1.5449565,"ChrXR",NA,"Collinear",NA
"NC_030303.1",1554697,1667112,0.12722,0.009414,0.006113,1.554697,1.667112,1.6109045,"ChrXR",0.009414,"Collinear",NA
"NC_030303.1",1669220,1794367,-0.112051,-0.005592,-0.003965,1.66922,1.794367,1.7317935,"ChrXR",NA,"Collinear",NA
"NC_030303.1",1796025,1860256,0.094015,0.007571,0.005257,1.796025,1.860256,1.8281405,"ChrXR",0.007571,"Collinear",NA
"NC_030303.1",1861848,1872270,-0.166051,-0.06156,-0.042034,1.861848,1.87227,1.867059,"ChrXR",NA,"Collinear",NA
"NC_030303.1",1872278,1890095,0.334101,0.076461,0.058551,1.872278,1.890095,1.8811865,"ChrXR",0.076461,"Collinear",NA
"NC_030303.1",1890665,1968970,0.038707,0.002134,0.001629,1.890665,1.96897,1.9298175,"ChrXR",0.002134,"Collinear",NA
